frame,id,nose_x,nose_y
252,8,3064,317
252,12,3260,261
253,1,1127,336
253,3,1813,406
253,8,3053,313
254,1,1126,335
254,3,1796,403
254,8,3048,321
255,1,1125,335
255,3,1790,404
255,8,3047,322
255,12,3247,252
256,1,1126,333
256,3,1788,396
256,8,3040,322
257,1,1127,333
257,3,1791,391
257,8,3050,326
258,1,1128,332
258,3,1774,395
258,8,3033,311
259,1,1128,331
259,3,1736,396
259,8,3014,301
260,1,1127,330
260,3,1725,397
260,8,3013,306
261,1,1127,329
261,3,1719,399
261,8,3000,302
262,1,1128,326
262,3,1713,396
262,8,2983,301
263,1,1126,324
263,3,1701,398
263,8,2973,301
264,1,1126,324
264,3,1693,400
264,8,2956,301
265,1,1125,326
265,3,1696,398
265,8,2949,300
266,1,1125,324
266,3,1686,393
266,8,2951,318
267,1,1125,324
267,3,1676,399
267,8,2944,314
268,1,1125,324
268,3,1661,398
268,8,2934,317
269,1,1125,326
269,3,1653,396
269,8,2925,314
270,1,1128,328
270,3,1649,400
270,8,2915,308
271,1,1128,328
271,3,1632,397
271,8,2902,310
272,1,1129,329
272,3,1624,396
272,8,2891,312
273,1,1128,333
273,3,1624,398
273,8,2883,311
274,1,1125,333
274,3,1608,396
274,8,2875,321
275,1,1124,332
275,3,1596,400
275,8,2857,316
275,31,3045,283
276,1,1123,331
276,3,1589,399
276,8,2845,318
276,31,3001,284
277,1,1121,331
277,3,1578,395
277,8,2841,325
277,31,3005,280
278,1,1120,330
278,3,1580,400
278,8,2838,326
278,31,3031,288
279,1,1119,332
279,3,1579,399
279,8,2832,324
279,31,3029,293
280,1,1119,330
280,3,1577,395
280,8,2826,326
280,31,3015,296
281,1,1117,332
281,3,1615,389
281,8,2822,326
282,1,1118,332
282,3,1547,404
282,8,2813,333
283,1,1119,332
283,3,1525,407
283,8,2798,330
284,1,1118,334
284,3,1522,409
284,8,2788,324
285,1,1117,334
285,3,1516,411
285,8,2773,327
286,1,1117,335
286,3,1507,411
286,8,2758,330
287,1,1116,336
287,3,1505,413
287,8,2756,333
288,1,1114,335
288,3,1497,412
288,8,2740,331
289,1,1113,337
289,3,1482,414
289,8,2729,324
290,1,1111,339
290,3,1509,416
290,8,2717,325
291,1,1109,339
291,3,1480,421
291,8,2710,331
291,41,2894,345
292,1,1108,340
292,3,1457,428
292,8,2699,341
292,41,2882,347
293,1,1108,340
293,3,1445,432
293,8,2689,343
293,41,2881,385
294,1,1108,342
294,3,1428,427
294,8,2670,341
294,41,2902,415
295,1,1108,343
295,3,1426,435
295,8,2662,350
295,41,3023,530
296,1,1108,344
296,3,1420,434
296,8,2654,355
297,1,1107,348
297,3,1409,428
297,8,2639,351
298,1,1107,350
298,3,1409,437
298,8,2633,359
299,1,1107,351
299,3,1409,439
299,8,2627,368
299,41,2810,345
300,1,1106,350
300,3,1393,438
300,8,2621,373
300,41,2930,516
301,1,1106,350
301,3,1387,445
301,8,2615,373
301,41,2843,469
302,1,1105,350
302,3,1376,445
302,8,2607,372
303,1,1105,350
303,3,1364,450
303,8,2589,376
304,1,1107,351
304,3,1360,453
304,8,2584,378
305,1,1107,351
305,3,1342,450
305,8,2584,369
306,1,1108,349
306,3,1334,445
306,8,2565,376
307,1,1106,347
307,3,1330,453
307,8,2554,388
308,1,1103,345
308,3,1317,447
308,8,2546,390
309,1,1103,344
309,3,1314,451
309,8,2549,399
310,1,1111,346
310,3,1311,454
310,8,2530,396
311,1,1112,346
311,3,1303,449
311,8,2526,392
